ticket_id,query_text,request_type,category,priority,requester_role,department,submitted_at
TCK-253C9741,"Vpn client shows error timeout-504 on Windows 10, blocking access to billing system",Incident,Network/VPN Connectivity Issue,P2-High,Associate,Procurement,2026-05-05T13:46:51
TCK-5E1F20DC,"Git client lost all my unsaved work after crashing, please help",Incident,Application Crash or Error,P2-High,Associate,Legal,2025-07-26T07:35:11
TCK-FC7635E0,need PowerBI installed on my laptop for Engineering work,Service Request,Software Installation Request,P4-Low,Team Lead,DevOps,2026-02-18T02:51:39
TCK-E10BC5C0,"New hire joining Finance on for the past 2 days, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Senior Associate,DevOps,2025-05-04T14:05:34
TCK-BEC3D938,can someone set up Zoom on my machine asap,Service Request,Software Installation Request,P3-Medium,Senior Associate,Design,2025-04-17T09:47:01
TCK-AC1932DC,Requesting installation of Zoom - approved by Cole,Service Request,Software Installation Request,P2-High,Team Lead,Procurement,2025-04-21T22:42:28
TCK-317F3E92,Requesting elevated access to analytics dashboard to debug prod issue,Service Request,Access/Permission Request,P2-High,Team Lead,Data Science,2026-05-05T08:09:49
TCK-17E07EC5,"Postman crashes every time i start my shift, error code 500",Incident,Application Crash or Error,P2-High,Manager,Data Science,2025-12-04T11:45:23
TCK-D9987B87,"Jira crashes every time i export data, error code 500",Incident,Application Crash or Error,P2-High,Team Lead,Marketing,2025-09-15T04:45:54
TCK-F1E31862,Account shows 'disabled' when trying to sign in to client SFTP,Incident,Login/Authentication Failure,P1-Critical,Associate,Customer Support,2025-03-28T08:24:39
TCK-03C653A7,Reset password request for new HR joiner's account,Service Request,Password Reset,P2-High,Manager,Sales,2025-11-17T17:42:20
TCK-AF4311D6,requesting deployment window for PowerBI hotfix at the earliest,Change Request,Application Deployment/Release,P1-Critical,Associate,Legal,2026-03-07T11:32:38
TCK-68D0BE97,Account shows 'disabled' when trying to sign in to staging server,Incident,Login/Authentication Failure,P2-High,Associate,Customer Support,2026-06-21T20:34:09
TCK-97395663,SAP GUI is throwing an exception on startup since this morning,Incident,Application Crash or Error,P3-Medium,Associate,Engineering,2025-04-04T18:04:56
TCK-5DBF1E62,requesting installation of Outlook - approved by Mary,Service Request,Software Installation Request,P4-Low,Director,HR,2025-09-18T01:54:15
TCK-B0F90421,"getting a white screen / blank page in Salesforce, cleared cache already",Incident,Application Crash or Error,P2-High,Associate,DevOps,2025-03-25T18:39:48
TCK-65D399E4,Can someone set up PowerBI on my machine,Service Request,Software Installation Request,P2-High,Team Lead,DevOps,2025-09-16T00:50:13
TCK-1FB54A05,"hi, my VPN keeps disconnecting every hour, can't push code",Incident,Network/VPN Connectivity Issue,P3-Medium,Associate,HR,2025-09-19T09:20:41
TCK-353F0BAF,need enterprise license upgrade for PowerBI for 39 users,Service Request,Software License Request,P3-Medium,Senior Manager,Design,2026-01-29T11:52:48
TCK-ABDD64D1,Network printer not detected on Windows 11,Incident,Printer Not Working,P4-Low,Manager,Sales,2025-04-15T21:55:41
TCK-257ED690,requesting deployment window for Jira hotfix before EOD,Change Request,Application Deployment/Release,P4-Low,Manager,Marketing,2025-09-11T21:38:07
TCK-E87AD8C3,RFC to whitelist new vendor IP for analytics dashboard integration,Change Request,Firewall/Network Change,P2-High,Associate,Marketing,2025-09-05T14:48:20
TCK-DBBD5C94,Requesting approval to add new column to internal wiki schema asap,Change Request,Server Configuration Change,P1-Critical,Associate,HR,2026-06-26T19:03:59
TCK-D7317BC8,Need enterprise license upgrade for WinSCP for 10 users,Service Request,Software License Request,P4-Low,Senior Associate,Engineering,2026-07-17T14:59:03
TCK-49F672A3,please prepare laptop + accounts for new HR joiner,Admin,Employee Onboarding Setup,P3-Medium,Associate,Legal,2026-03-27T03:03:26
TCK-1BCF9232,"vpn client shows error timeout-504 on macOS, blocking access to staging server",Incident,VPN Access Setup,P1-Critical,Team Lead,Engineering,2026-09-01T19:31:46
TCK-71499912,Need site-to-site vpn access to staging server for the project,Service Request,VPN Access Setup,P2-High,Director,Sales,2025-10-10T18:16:30
TCK-FE04192E,"need an external monitor for wfh setup, approved by Melanie",Service Request,New Hardware/Peripheral Request,P4-Low,Associate,Engineering,2026-05-16T01:26:24
TCK-A51DFA14,requesting Karl be added as owner of Marketing DL,Service Request,Distribution List / Mailbox Request,P4-Low,Associate,Procurement,2025-04-06T01:47:28
TCK-C2FFDA50,requesting network change to allow Excel traffic through proxy,Change Request,Firewall/Network Change,P1-Critical,Manager,Customer Support,2026-04-21T19:46:45
TCK-E016B1A7,"Please grant access to build pipeline repo, approved by Laura",Service Request,Access/Permission Request,P2-High,Team Lead,Finance,2026-03-02T19:17:33
TCK-07D76C43,RFC for production release of Git client v10.0 this sprint,Change Request,Application Deployment/Release,P2-High,Manager,QA,2025-10-17T07:58:28
TCK-92A1C730,new joiner needs Salesforce + standard Legal toolset installed,Service Request,Software Installation Request,P2-High,Director,Marketing,2025-11-21T22:05:38
TCK-9A74D293,requesting network change to allow IntelliJ IDEA traffic through proxy,Change Request,Firewall/Network Change,P2-High,Manager,Data Science,2025-12-27T17:51:36
TCK-98CC1C5D,SAP GUI is throwing an exception on startup since since the reboot,Incident,Application Crash or Error,P2-High,Associate,Data Science,2026-01-15T00:44:45
TCK-A6FB6BFD,"Hi team, toner/ink warning on 7th floor printer, needs replacement",Incident,Printer Not Working,P3-Medium,Senior Associate,Procurement,2025-05-30T22:43:32
TCK-DAF5832F,"Locked out of my account after 48 failed attempts, before EOD",Incident,Login/Authentication Failure,P2-High,Director,Procurement,2026-03-21T07:04:36
TCK-DDD71433,Please enable vpn for contractor working with DevOps team,Service Request,VPN Access Setup,P4-Low,Senior Associate,Customer Support,2025-11-04T10:47:47
TCK-6B9EAB6A,"Please install WinSCP, required for export data on current project",Service Request,Software Installation Request,P3-Medium,Senior Manager,Engineering,2026-01-11T14:04:03
TCK-8D1F74BD,requesting config rollback on staging server after last night's change,Change Request,Server Configuration Change,P3-Medium,Associate,HR,2025-06-06T07:21:39
TCK-EEA548D2,requesting additional Anaconda seat for new Customer Support hire,Service Request,Software License Request,P3-Medium,Associate,DevOps,2026-06-24T17:19:56
TCK-91ED00D9,"Toner/ink warning on 3rd floor printer, needs replacement",Incident,Printer Not Working,P4-Low,Senior Associate,Procurement,2026-02-03T11:02:51
TCK-C19F1BDF,"Laptop battery draining within 21 mins, needs replacement",Incident,Hardware Malfunction,P3-Medium,Senior Associate,Procurement,2026-04-11T14:38:40
TCK-9436566E,"Docker Desktop crashes every time i submit the deliverable, error code 0x8007045",Incident,Application Crash or Error,P3-Medium,Associate,Data Science,2026-08-03T21:16:33
TCK-D7C72543,"Requesting elevated access to billing system to debug prod issue urgently, blocking a client deliverable",Service Request,Access/Permission Request,P3-Medium,Associate,DevOps,2025-05-17T00:03:16
TCK-E2AD7A25,Need SAP GUI installed on my laptop for HR work,Service Request,Software Installation Request,P1-Critical,Manager,DevOps,2025-09-07T08:27:06
TCK-95D76183,need read/write access to shared drive for Marketing project,Service Request,Access/Permission Request,P3-Medium,Associate,Sales,2026-08-20T12:30:41
TCK-0FDF359F,"MS Teams crashes every time i run a report, error code 500",Incident,Application Crash or Error,P2-High,Director,Customer Support,2026-08-06T02:19:33
TCK-6EEE2802,Requesting installation of Tableau - approved by Michael,Service Request,Software Installation Request,P4-Low,Associate,Marketing,2026-04-06T22:06:40
TCK-B6E31E39,Requesting additional Figma seat for new QA hire,Service Request,Software License Request,P3-Medium,Associate,Engineering,2026-02-05T18:26:19
TCK-F34D65C3,"offboarding: revoke prod database access for exiting team member urgently, blocking a client deliverable",Admin,Employee Offboarding/Asset Return,P3-Medium,Senior Associate,DevOps,2026-03-08T15:43:49
TCK-8D78A02A,Outlook keeps freezing / not syncing on Windows 10,Incident,Email/Outlook Issue,P3-Medium,Associate,Engineering,2025-07-20T06:50:46
TCK-3533D4E1,Raising change request to resize compute for CRM before since last night,Change Request,Server Configuration Change,P1-Critical,Senior Manager,Design,2025-08-27T09:23:39
TCK-2AC3DCB5,please remove me from the old HR mailing list,Service Request,Distribution List / Mailbox Request,P3-Medium,Associate,Design,2025-09-25T17:35:57
TCK-9329D93B,"Need an external monitor for wfh setup, approved by Lisa",Service Request,New Hardware/Peripheral Request,P4-Low,Manager,DevOps,2025-05-16T21:07:23
TCK-20BF3672,"Unable to open Salesforce, keeps saying 'application not responding'",Incident,Application Crash or Error,P2-High,Senior Associate,Legal,2026-07-22T05:05:58
TCK-1688EBF7,Need asset return + access revoke processed for Finance employee,Admin,Employee Offboarding/Asset Return,P1-Critical,Director,Design,2025-04-29T11:10:48
TCK-A7A37304,can someone set up Postman on my machine asap,Service Request,Software Installation Request,P3-Medium,Manager,Finance,2025-07-17T23:27:00
TCK-82A879F2,"Figma crashes every time i open a file, error code 0x80070005",Incident,Application Crash or Error,P3-Medium,Associate,QA,2026-07-11T12:17:05
TCK-7A901D5C,RFC for production release of Docker Desktop v7.0 this sprint,Change Request,Application Deployment/Release,P2-High,Manager,Engineering,2026-02-19T18:02:40
TCK-A61C70F3,Need enterprise license upgrade for SAP GUI for 4 users,Service Request,Software License Request,P4-Low,Senior Associate,Design,2025-03-29T14:24:53
TCK-6FB2C899,"Need an external monitor for wfh setup, approved by Jennifer",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,Sales,2026-07-04T03:03:57
TCK-F9CC3AC3,"VS Code freezes when i try to run a report, need this fixed",Incident,Application Crash or Error,P2-High,Senior Associate,Data Science,2026-04-19T00:43:29
TCK-F1D7B204,laptop overheating and shutting down randomly during run a report,Incident,Hardware Malfunction,P3-Medium,Team Lead,DevOps,2026-02-25T08:36:37
TCK-BFB1D11D,"Figma crashes every time i start my shift, error code 0x80070005",Incident,Application Crash or Error,P2-High,Senior Associate,Sales,2025-10-16T10:26:04
TCK-278AA064,"requesting elevated access to internal wiki to debug prod issue urgently, blocking a client deliverable",Service Request,Access/Permission Request,P3-Medium,Senior Associate,Marketing,2026-03-21T12:56:51
TCK-1A6AB0BC,Requesting network change to allow SAP GUI traffic through proxy,Change Request,Firewall/Network Change,P2-High,Director,DevOps,2025-09-01T22:31:31
TCK-19973294,Requesting deployment window for VS Code hotfix before EOD,Change Request,Application Deployment/Release,P1-Critical,Manager,Finance,2026-03-22T11:27:55
TCK-6F7ABAD4,Please prepare laptop + accounts for new Finance joiner,Admin,Employee Onboarding Setup,P4-Low,Associate,Legal,2026-05-22T20:07:07
TCK-8DD831EE,need enterprise license upgrade for IntelliJ IDEA for 42 users,Service Request,Software Installation Request,P4-Low,Manager,Design,2026-02-28T09:04:28
TCK-0CA12620,Need read/write access to CRM for Engineering project,Service Request,Access/Permission Request,P3-Medium,Team Lead,Customer Support,2025-06-27T14:39:51
TCK-8AD44297,"Requesting a new laptop, current one is 6 years old and slow",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,Engineering,2025-06-11T10:51:25
TCK-5504A81E,need firewall rule opened for port 2 to shared drive,Change Request,Firewall/Network Change,P2-High,Team Lead,Marketing,2025-10-31T21:34:07
TCK-EAA30646,need Salesforce installed on my laptop for Customer Support work,Service Request,Software License Request,P4-Low,Senior Associate,DevOps,2026-04-05T18:24:55
TCK-F9714C7F,requesting elevated access to shared drive to debug prod issue before EOD,Service Request,Access/Permission Request,P2-High,Associate,Sales,2026-06-26T00:15:02
TCK-96E7DCDF,Can someone set up Putty on my machine at the earliest,Service Request,Software Installation Request,P3-Medium,Associate,DevOps,2025-05-21T08:10:03
TCK-D2B987F6,Keyboard keys not responding on my Windows 11 laptop,Incident,Hardware Malfunction,P2-High,Manager,HR,2026-04-02T23:15:20
TCK-78E33369,Need read/write access to billing system for Legal project,Service Request,Access/Permission Request,P3-Medium,Associate,Procurement,2025-07-29T08:20:02
TCK-BBB88AA9,"unable to send emails, getting bounce back error 403",Incident,Email/Outlook Issue,P2-High,Associate,Procurement,2025-04-12T05:15:03
TCK-340271A1,need site-to-site vpn access to client SFTP for the project,Service Request,VPN Access Setup,P2-High,Director,Sales,2026-09-07T19:45:08
TCK-4A92019D,Need password reset for shared Legal service account,Service Request,Password Reset,P1-Critical,Senior Associate,Sales,2025-07-31T13:46:04
TCK-AE1924B2,requesting scheduled restart of GitHub repo this weekend,Change Request,Server Configuration Change,P2-High,Associate,Finance,2025-05-22T06:46:24
TCK-FE37D38E,Can someone set up WinSCP on my machine,Service Request,Software Installation Request,P4-Low,Associate,Design,2025-12-26T11:41:36
TCK-B638FE60,"Hi team, my VPN keeps disconnecting every 5 minutes, can't push code",Incident,Network/VPN Connectivity Issue,P2-High,Associate,QA,2026-07-04T05:22:03
TCK-1310D898,"Please grant access to prod database repo, approved by Diane",Service Request,Access/Permission Request,P3-Medium,Senior Manager,Procurement,2026-05-22T02:55:24
TCK-05650E47,Need read/write access to build pipeline for Sales project,Service Request,Access/Permission Request,P3-Medium,Associate,DevOps,2025-03-30T16:26:32
TCK-332B430C,RFC to rotate credentials/certificates on build pipeline at the earliest,Change Request,Server Configuration Change,P2-High,Team Lead,Marketing,2025-04-02T09:13:21
TCK-76C10C85,Need enterprise license upgrade for IntelliJ IDEA for 42 users,Service Request,Software License Request,P3-Medium,Senior Manager,Procurement,2025-12-05T23:44:25
TCK-1D854058,Need firewall rule opened for port 10 to analytics dashboard,Change Request,Firewall/Network Change,P2-High,Associate,HR,2026-06-28T17:12:11
TCK-61CF0321,"cant print from Git client, other apps print fine",Incident,Printer Not Working,P1-Critical,Director,Sales,2026-07-11T20:47:51
TCK-BDF244CA,Need read/write access to Jira project for Data Science project,Service Request,Access/Permission Request,P3-Medium,Associate,QA,2025-10-25T01:30:21
TCK-3D0641C4,need a new distribution list set up for the Finance project,Service Request,Distribution List / Mailbox Request,P4-Low,Senior Associate,Procurement,2026-05-05T17:07:01
TCK-FAB31E98,offboarding: revoke analytics dashboard access for exiting team member at the earliest,Admin,Employee Offboarding/Asset Return,P2-High,Director,Design,2025-10-12T21:07:10
TCK-4715DBA0,RFC for production release of VS Code v32.0 this sprint,Change Request,Application Deployment/Release,P2-High,Associate,HR,2025-06-03T05:59:30
TCK-E16F2730,need Docker Desktop installed on my laptop for Design work,Service Request,Software Installation Request,P4-Low,Director,Marketing,2026-01-30T09:51:37
TCK-3DDFAFFB,need asset return + access revoke processed for Legal employee,Admin,Employee Offboarding/Asset Return,P2-High,Senior Associate,Procurement,2026-02-26T11:34:12
TCK-080D7C5A,"cant print from Postman, other apps print fine",Incident,Printer Not Working,P3-Medium,Senior Associate,Marketing,2025-10-15T10:44:09
TCK-65014284,"Vpn client shows error TLS_ERROR on macOS, blocking access to GitHub repo",Incident,VPN Access Setup,P2-High,Team Lead,Sales,2025-08-14T01:37:43
TCK-E6324F67,requesting installation of MS Teams - approved by Thomas,Service Request,Software Installation Request,P3-Medium,Manager,Customer Support,2026-01-13T08:32:29
TCK-59C6D365,"RFC to patch OS on billing system, maintenance window needed",Change Request,Server Configuration Change,P2-High,Associate,Legal,2026-02-10T04:16:02
TCK-945FC908,Need vpn access configured for new remote hire in Data Science,Service Request,VPN Access Setup,P3-Medium,Team Lead,QA,2025-10-30T07:38:20
TCK-56D2B453,requesting deployment window for Putty hotfix today if possible,Change Request,Application Deployment/Release,P2-High,Associate,DevOps,2026-02-18T18:28:49
TCK-A32FE8CE,"getting a white screen / blank page in Postman, cleared cache already",Incident,Application Crash or Error,P2-High,Senior Associate,QA,2025-07-27T18:56:35
TCK-428CA4EC,"Please install Excel, required for run a report on current project",Service Request,Software Installation Request,P4-Low,Associate,Sales,2025-04-24T19:43:50
TCK-0BACBD27,Need read/write access to Jira project for HR project,Service Request,Access/Permission Request,P2-High,VP,Data Science,2026-07-01T03:53:11
TCK-6071D9DD,"Cant print from Excel, other apps print fine",Incident,Printer Not Working,P2-High,Manager,HR,2025-06-20T09:28:32
TCK-6D160B74,need access removed for a former team member on shared drive,Service Request,Access/Permission Request,P1-Critical,Manager,Customer Support,2025-06-13T02:00:38
TCK-9BDC64FE,need enterprise license upgrade for Anaconda for 45 users,Service Request,Software License Request,P1-Critical,VP,QA,2026-03-24T20:29:27
TCK-5789D311,Please add me to the Legal distribution list,Service Request,Distribution List / Mailbox Request,P1-Critical,Senior Manager,Engineering,2025-12-02T13:23:43
TCK-1D900BD7,"Need my billing system password reset, self reset option is greyed out",Service Request,Password Reset,P2-High,Senior Associate,DevOps,2025-10-13T07:59:35
TCK-DE793D4E,RFC for production release of Zoom v43.0 this sprint,Change Request,Application Deployment/Release,P2-High,Team Lead,Finance,2025-05-18T13:01:00
TCK-6CC6F032,need change approval for db version upgrade on client SFTP,Change Request,Database Schema/Deployment Change,P2-High,Team Lead,Design,2026-08-24T11:11:45
TCK-825DB676,Need site-to-site vpn access to shared drive for the project,Service Request,VPN Access Setup,P3-Medium,Associate,QA,2025-06-23T14:03:05
TCK-370D635B,"Docker Desktop freezes when i try to open a file, need this fixed urgently, blocking a client deliverable",Incident,Application Crash or Error,P3-Medium,Team Lead,Legal,2025-03-22T23:51:55
TCK-504750B9,Shared mailbox for Design not accessible since this morning,Incident,Email/Outlook Issue,P3-Medium,Senior Manager,Engineering,2025-06-02T12:12:30
TCK-A0EE68F9,"getting a white screen / blank page in Tableau, cleared cache already",Incident,Application Crash or Error,P2-High,Team Lead,Design,2025-06-29T07:02:15
TCK-AA86423A,Need read/write access to CRM for Legal project,Service Request,Access/Permission Request,P3-Medium,Manager,DevOps,2026-06-10T14:59:59
TCK-6F7E6B9D,raising change request to resize compute for CRM before since the reboot,Change Request,Server Configuration Change,P2-High,Senior Associate,Design,2025-03-15T08:38:24
TCK-C53F8FC6,requesting additional Outlook seat for new Procurement hire,Service Request,Software License Request,P4-Low,Senior Associate,Procurement,2026-06-18T17:12:01
TCK-DDE7C5E6,requesting network change to allow Salesforce traffic through proxy,Change Request,Firewall/Network Change,P1-Critical,VP,Design,2026-01-31T07:21:01
TCK-EA9FB082,need RFC approved for db failover test on internal wiki,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,DevOps,2025-08-17T06:21:24
TCK-9289AC1F,Can someone set up Anaconda on my machine asap,Service Request,Software Installation Request,P3-Medium,Team Lead,Engineering,2025-10-28T02:54:29
TCK-792475BA,"RFC to patch OS on GitHub repo, maintenance window needed",Change Request,Server Configuration Change,P3-Medium,Team Lead,Procurement,2025-04-14T19:46:52
TCK-3D794BAD,"need an external monitor for wfh setup, approved by Patricia",Service Request,New Hardware/Peripheral Request,P4-Low,Senior Associate,Legal,2025-10-25T10:56:51
TCK-AA11588F,Need a new distribution list set up for the Finance project,Service Request,Distribution List / Mailbox Request,P3-Medium,Team Lead,Finance,2025-03-22T10:35:37
TCK-A660CA5F,requesting Keith be added as owner of Sales DL,Service Request,Distribution List / Mailbox Request,P4-Low,Associate,QA,2025-06-24T06:57:45
TCK-A10075C7,Need approval to deploy Tableau config change to prod,Change Request,Application Deployment/Release,P1-Critical,Manager,Procurement,2026-07-21T19:39:06
TCK-0DE9D823,need read/write access to client SFTP for Customer Support project,Service Request,Access/Permission Request,P4-Low,Associate,Sales,2026-08-18T14:21:33
TCK-546A6243,Requesting installation of Jira - approved by Robert,Service Request,Software Installation Request,P4-Low,Team Lead,Data Science,2026-09-06T04:41:35
TCK-37C5FB19,"unable to connect to office VPN since since the reboot, blocking my work",Incident,Network/VPN Connectivity Issue,P2-High,Manager,Data Science,2025-03-20T23:25:22
TCK-918AAF9D,RFC to whitelist new vendor IP for prod database integration,Change Request,Firewall/Network Change,P1-Critical,Associate,Engineering,2025-09-22T13:13:53
TCK-C7F130DE,"locked out of my account after 32 failed attempts, asap",Incident,Login/Authentication Failure,P2-High,Associate,Design,2026-06-07T09:35:55
TCK-7DEEBD22,Need firewall rule opened for port 24 to client SFTP,Change Request,Firewall/Network Change,P1-Critical,Associate,Finance,2025-03-28T13:17:33
TCK-C26E0709,requesting deployment window for Jira hotfix,Change Request,Application Deployment/Release,P2-High,Associate,Legal,2025-11-01T20:08:01
TCK-08D7D640,"Locked out of my account after 29 failed attempts,",Incident,Login/Authentication Failure,P1-Critical,Director,DevOps,2026-04-01T20:20:19
TCK-57B46B25,"requesting a new laptop, current one is 48 years old and slow",Service Request,New Hardware/Peripheral Request,P3-Medium,Associate,QA,2025-11-05T18:50:03
TCK-50D98496,Please enable vpn for contractor working with Customer Support team,Service Request,VPN Access Setup,P2-High,Associate,Marketing,2026-06-14T20:57:25
TCK-F5F36FA6,need vpn access configured for new remote hire in Legal,Service Request,VPN Access Setup,P3-Medium,Associate,Finance,2025-05-08T00:43:56
TCK-38C7FF31,"please grant access to prod database repo, approved by Cheryl",Service Request,Access/Permission Request,P2-High,Senior Manager,Engineering,2026-05-13T07:49:13
TCK-AB95FDE1,"Please install Zoom, required for push code on current project",Service Request,Software License Request,P4-Low,Associate,Sales,2025-05-07T18:24:51
TCK-92DC26D6,reset password request for new Marketing joiner's account,Service Request,Password Reset,P3-Medium,Associate,Procurement,2025-11-06T11:40:41
TCK-9E1436AC,"Requesting a new laptop, current one is 1 years old and slow",Service Request,New Hardware/Peripheral Request,P3-Medium,Senior Associate,Procurement,2026-05-06T03:21:50
TCK-4326B030,"WinSCP freezes when i try to join the client call, need this fixed urgently, blocking a client deliverable",Incident,Application Crash or Error,P1-Critical,Senior Associate,Sales,2026-05-28T02:29:38
TCK-F08FB0A9,need vpn access configured for new remote hire in Marketing,Service Request,VPN Access Setup,P3-Medium,Senior Associate,Data Science,2025-09-24T12:32:04
TCK-010AC7C6,"VS Code freezes when i try to open a file, need this fixed urgently, blocking a client deliverable",Incident,Application Crash or Error,P2-High,Senior Associate,Sales,2025-10-27T23:11:52
TCK-D61289C0,"new hire joining QA on since the reboot, needs full IT setup",Admin,Employee Onboarding Setup,P4-Low,Senior Manager,Finance,2025-09-25T03:23:49
TCK-2030963D,"password reset email never arrived, checked spam asap",Service Request,Password Reset,P2-High,VP,QA,2026-05-26T12:24:20
TCK-725D392B,"Please grant access to GitHub repo repo, approved by Frank",Service Request,Access/Permission Request,P1-Critical,Director,Data Science,2025-04-13T16:56:35
TCK-A4336D70,Raising RFC to increase memory allocation on prod database,Change Request,Server Configuration Change,P2-High,Senior Manager,QA,2026-02-19T21:23:37
TCK-CE1901FE,need RFC approved for db failover test on shared drive,Change Request,Database Schema/Deployment Change,P2-High,Team Lead,Data Science,2026-03-07T15:15:48
TCK-06EDB058,Need Tableau installed on my laptop for Legal work,Service Request,Software License Request,P3-Medium,Associate,Design,2026-03-18T20:46:54
TCK-2778DABA,"locked out of my account after 22 failed attempts, asap",Incident,Login/Authentication Failure,P2-High,Team Lead,Data Science,2025-08-24T16:24:12
TCK-8F885C98,"need an external monitor for wfh setup, approved by Isabella",Service Request,New Hardware/Peripheral Request,P1-Critical,Manager,Customer Support,2025-11-10T08:43:38
TCK-E4C5B74C,requesting network change to allow Tableau traffic through proxy,Change Request,Firewall/Network Change,P2-High,VP,Sales,2026-01-03T03:41:35
TCK-B09CF46D,raising change request to roll back Excel deployment,Change Request,Application Deployment/Release,P2-High,Associate,Procurement,2026-03-03T01:52:01
TCK-CD84E6DB,"New hire joining QA on for the past 2 days, needs full IT setup",Admin,Employee Onboarding Setup,P3-Medium,Senior Associate,Sales,2026-07-10T02:29:14
TCK-3E4294C9,Docker Desktop is throwing an exception on startup since since last night,Incident,Application Crash or Error,P2-High,Manager,Finance,2025-09-10T04:52:46
TCK-1B402A15,"locked out of my account after 40 failed attempts,",Incident,Login/Authentication Failure,P2-High,Team Lead,HR,2026-04-20T06:30:45
TCK-817CB4B4,"vpn client shows error DNS_PROBE_FAILED on Windows 10, blocking access to GitHub repo",Incident,Network/VPN Connectivity Issue,P1-Critical,Associate,Engineering,2025-04-30T20:56:37
TCK-AC4CF280,"Locked out of my account after 31 failed attempts, before EOD",Incident,Login/Authentication Failure,P2-High,Team Lead,Engineering,2025-05-10T12:31:35
TCK-2969025C,Need config change on billing system to fix recurring timeout,Change Request,Server Configuration Change,P2-High,Senior Associate,HR,2025-10-01T06:38:24
TCK-F57A0590,Requesting config rollback on staging server after last night's change,Change Request,Server Configuration Change,P1-Critical,Senior Manager,Design,2026-03-02T11:44:39
TCK-BD29299C,PowerBI is throwing an exception on startup since this morning,Incident,Application Crash or Error,P2-High,Director,Data Science,2026-01-14T17:55:22
TCK-771A277A,Requesting deployment window for Postman hotfix,Change Request,Application Deployment/Release,P2-High,Team Lead,Engineering,2026-04-06T11:22:40
TCK-6E779DA4,Requesting additional PowerBI seat for new Sales hire,Service Request,Software License Request,P3-Medium,Senior Associate,Data Science,2026-04-06T04:45:40
TCK-4B3A333A,"WinSCP crashes every time i submit the deliverable, error code 0x80070005",Incident,Application Crash or Error,P2-High,Associate,Design,2026-04-04T17:08:26
TCK-9E91AC23,"Vpn client shows error 0x8007045 on Windows 10, blocking access to analytics dashboard",Incident,Network/VPN Connectivity Issue,P2-High,VP,Sales,2026-07-10T13:27:08
TCK-91CE2A0D,"Please grant access to internal wiki repo, approved by Brianna",Service Request,Access/Permission Request,P2-High,Manager,Customer Support,2025-12-20T04:50:43
TCK-6974CE7E,"Cant print from Docker Desktop, other apps print fine",Incident,Printer Not Working,P3-Medium,Team Lead,Procurement,2025-10-28T21:32:17
TCK-5436BB4C,requesting deployment window for Salesforce hotfix asap,Change Request,Application Deployment/Release,P3-Medium,Senior Associate,DevOps,2026-08-02T20:18:33
TCK-8A034E19,need firewall rule opened for port 39 to shared drive,Change Request,Firewall/Network Change,P2-High,Associate,Marketing,2025-11-25T05:44:04
TCK-16C0F9D0,RFC to add new index on staging server table for perf fix,Change Request,Database Schema/Deployment Change,P2-High,Associate,Finance,2026-01-18T02:58:22
TCK-EC01B3E8,need a new shared mailbox created for Legal team,Service Request,Distribution List / Mailbox Request,P4-Low,Team Lead,HR,2025-06-02T23:48:10
TCK-09AFC914,Need password reset for shared Design service account,Service Request,Password Reset,P2-High,Associate,Data Science,2025-05-27T21:04:57
TCK-58BFA6BF,requesting approval to add new column to client SFTP schema,Change Request,Database Schema/Deployment Change,P2-High,Senior Associate,Sales,2025-04-06T16:30:20
TCK-D82406C9,"Putty crashes every time i start my shift, error code 500",Incident,Application Crash or Error,P2-High,Senior Manager,Legal,2026-07-10T20:39:09
TCK-D5CD9BC6,"Cant print from PowerBI, other apps print fine",Incident,Printer Not Working,P4-Low,Senior Associate,Customer Support,2025-05-17T00:43:32
TCK-FAC28E48,"Locked out of my account after 32 failed attempts,",Incident,Login/Authentication Failure,P2-High,Senior Associate,DevOps,2026-07-17T00:13:55
TCK-48622BFB,RFC for production release of Anaconda v9.0 this sprint,Change Request,Application Deployment/Release,P2-High,Team Lead,DevOps,2025-12-12T10:29:05
TCK-68027081,scan to email not working from ground floor printer,Incident,Printer Not Working,P3-Medium,Senior Manager,DevOps,2025-11-12T09:52:51
TCK-FC62E058,"PowerBI crashes every time i push code, error code 403",Incident,Application Crash or Error,P1-Critical,Senior Associate,Engineering,2026-05-22T23:50:14
TCK-0824C551,Raising change request to resize compute for shared drive before since the reboot,Change Request,Server Configuration Change,P2-High,Director,Engineering,2026-08-17T15:42:17
TCK-3F6AA796,keyboard keys not responding on my Linux laptop,Incident,Hardware Malfunction,P1-Critical,Team Lead,DevOps,2026-04-18T00:06:52
TCK-0E4195F2,Plz enable vpn for contractor working with Marketing team,Service Request,VPN Access Setup,P4-Low,Team Lead,Sales,2025-05-17T19:49:46
TCK-987FE2CF,Requesting elevated access to CRM to debug prod issue before EOD,Service Request,Access/Permission Request,P3-Medium,Associate,Legal,2026-01-17T06:59:35
TCK-C1905AC4,Need vpn access configured for new remote hire in Sales,Service Request,VPN Access Setup,P3-Medium,Associate,Data Science,2026-04-01T09:59:36
TCK-48A9A9B3,"Our team's Tableau license renewal is due, please process",Service Request,Software License Request,P3-Medium,VP,Sales,2025-11-09T06:58:32
